1;0;list1;blabla;"["terror", "fuck you"]";2;en;0;"2018-07-22 11:59:22";"["terror", "fuck you"]";0;0
2;0;list2;NULL;"["fuck", "sex"]";NULL;NULL;0;"2018-07-22 11:59:22";"["fuck", "sex"]";0;0
3;NULL;NULL;NULL;"["terror"]";NULL;NULL;0;"2018-07-22 11:59:22";"["terror"]";0;0
4;NULL;NULL;NULL;"["fuck you asshole in the butt", "I want to go and it some pussy tonight", "fuck"]";NULL;NULL;0;"2018-07-22 11:59:22";"["fuck you asshole in the butt", "I want to go and it some pussy tonight", "fuck"]";0;0
5;NULL;NULL;NULL;"["fuck you"]";NULL;NULL;0;"2018-07-22 11:59:22";"["fuck you"]";0;0
